Image Name,IoU Score,Anchor Score,Boolean Score
Image Name,IOU score,Anchor Score,Boolean Score
4AK606_1_4LDImage3.png,0.8,0.8,1
4AK606_1_5LDImage1.png,0.3,0.3,1
4AK606_1_5LDImage2.png,0.7,0.6,1
4AK606_1_5LDImage3.png,0.8,0.8,1
4AK606_1_6FNLImage3.png,0.0,0.0,1
4AK606_1_6LDImage2.png,0.3,0.3,1
EDDF07C1_1FNLImage3.png,0.5,0.0,1
EDDF07C1_1LDImage3.png,0.9,0.7,1
EDDF07C1_2FNLImage2.png,0.0,0.0,1
EDDF07C1_2LDImage1.png,0.4,0.7,1
EDDF07C1_2LDImage2.png,0.6,0.6,1
EDDF07C1_2LDImage3.png,0.9,0.6,1
EDDF07C1_3LDImage1.png,0.9,0.8,1
EDDF07C1_3LDImage2.png,0.9,0.6,1
EDDF07C1_4FNLImage1.png,0.4,0.0,1
EDDF07C1_4FNLImage3.png,0.6,0.0,1
EDDF07C1_5FNLImage3.png,0.5,0.0,1
EDDF07C1_5FNLImage5.png,0.5,0.0,1
EDDF07C1_6FNLImage2.png,0.0,0.7,1
EDDF07C1_6FNLImage4.png,0.5,0.0,1
EDDF07C1_6FNLImage5.png,0.5,0.0,1
EDDF07C1_6FNLImage6.png,0.5,0.0,1
EDDF07C1_7FNLImage2.png,0.6,0.0,1
EDDF07C1_7FNLImage4.png,0.6,0.0,1
EDDF07C1_7FNLImage6.png,0.0,0.0,1
EDDF07C1_8LDImage2.png,0.9,0.6,1
EDDF07C1_9FNLImage1.png,0.0,0.0,1
EDDF07C1_9FNLImage4.png,0.0,0.0,1
EDDF07C1_9LDImage2.png,0.9,0.6,1
EDDF07L1_1FNLImage3.png,0.5,0.0,1
EDDF07L1_1FNLImage5.png,0.0,0.0,1
EDDF07L1_1LDImage2.png,0.8,0.6,1
EDDF07L1_2FNLImage2.png,0.0,0.0,1
EDDF07L1_2FNLImage6.png,0.2,0.1,1
EDDF07L1_2LDImage1.png,0.6,0.8,1
EDDF07L1_2LDImage2.png,0.6,0.7,1
EDDF07L1_2LDImage3.png,0.8,0.7,1
EDDF07L1_3LDImage4.png,0.8,0.7,1
EDDF07L1_4FNLImage2.png,0.5,0.0,1
EDDF07L1_4FNLImage3.png,0.5,0.0,1
EDDF07L1_4LDImage2.png,0.8,0.6,1
EDDF07L1_4LDImage3.png,0.8,0.6,1
EDDF07L1_5FNLImage3.png,0.5,0.0,1
EDDF07L1_5LDImage2.png,0.8,0.6,1
EDDF07L1_6FNLImage2.png,0.0,0.6,1
EDDF07L1_6FNLImage3.png,0.5,0.0,1
Mean Score,0.51,0.32,1.0
